origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.010,0.0
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.025,0.0
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.050,0.0
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.100,0.0
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.150,277.30000000000035
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.200,558.1800000000001
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.250,798.4000000000004
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.300,1009.9999999999998
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.350,1183.865
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.400,1380.6600000000003
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.450,1552.4200000000005
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.500,1723.95
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.550,1888.7900000000004
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.600,2070.26
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.650,2254.1
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.700,2428.629999999999
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.750,2644.45
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.800,2888.9600000000005
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.850,3176.294999999999
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.900,3547.800000000001
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.950,4115.269999999998
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.975,4660.537499999998
2025-05-14,ILI incidence,1,2025-05-11,AT,quantile,0.990,5303.612000000001
2025-05-14,ILI incidence,1,2025-05-11,AT,median,,1723.95
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.010,0.0
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.025,0.0
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.050,0.0
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.100,0.0
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.150,179.1850000000001
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.200,468.08000000000044
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.250,713.5750000000004
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.300,933.97
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.350,1153.8949999999998
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.400,1351.88
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.450,1540.2200000000005
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.500,1735.5499999999993
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.550,1922.1
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.600,2102.48
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.650,2314.1699999999996
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.700,2524.22
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.750,2753.2
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.800,2996.68
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.850,3325.6299999999997
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.900,3716.79
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.950,4345.1050000000005
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.975,4906.927499999998
2025-05-14,ILI incidence,2,2025-05-18,AT,quantile,0.990,5600.5970000000025
2025-05-14,ILI incidence,2,2025-05-18,AT,median,,1735.5499999999993
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.010,0.0
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.025,0.0
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.050,0.0
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.100,0.0
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.150,17.04000000000045
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.200,338.0400000000007
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.250,627.6250000000007
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.300,857.74
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.350,1088.8649999999998
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.400,1317.6400000000008
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.450,1521.7550000000006
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.500,1725.5499999999997
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.550,1933.1900000000003
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.600,2143.66
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.650,2355.0500000000006
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.700,2574.9399999999996
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.750,2830.1749999999997
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.800,3111.8800000000015
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.850,3470.8450000000003
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.900,3873.9100000000003
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.950,4532.414999999999
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.975,5192.5425
2025-05-14,ILI incidence,3,2025-05-25,AT,quantile,0.990,5911.33
