"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-03-05,1,2025-03-02,0.01,2069.34,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.025,2085.475,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.05,2099.85,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.1,2125,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.15,2135.4,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.2,2146.2,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.25,2151.75,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.3,2159.7,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.35,2164,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.4,2169.6,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.45,2176.65,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.5,2182.5,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.55,2189.45,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.6,2197.4,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.65,2201.7,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.7,2214,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.75,2216,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.8,2223.2,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.85,2236.15,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.9,2247.3,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.95,2256.15,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.975,2276.575,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.99,2280.26,"quantile","ILI incidence","AT"
2025-03-05,1,2025-03-02,0.01,550.91,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.025,557.275,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.05,562,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.1,565,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.15,573.85,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.2,580.2,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.25,585,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.3,587.4,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.35,591.65,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.4,596,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.45,597.55,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.5,598.5,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.55,601,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.6,603,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.65,605.35,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.7,609.3,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.75,612.25,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.8,615.2,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.85,617.15,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.9,624,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.95,627.1,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.975,631.575,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.99,640.04,"quantile","ILI incidence","BE"
2025-03-05,1,2025-03-02,0.01,31.98,"quantile","ILI incidence","HR"
2025-03-05,1,2025-03-02,0.025,33,"quantile","ILI incidence","HR"
2025-03-05,1,2025-03-02,0.05,34,"quantile","ILI incidence","HR"
2025-03-05,1,2025-03-02,0.1,35,"quantile","ILI incidence","HR"
2025-03-05,1,2025-03-02,0.15,39,"quantile","ILI incidence","HR"
2025-03-05,1,2025-03-02,0.2,40,"quantile","ILI incidence","HR"
