"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-02-19,1,2025-02-16,0.01,2113.64,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.025,2123.425,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.05,2127.95,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.1,2147.9,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.15,2160.65,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.2,2169.8,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.25,2178.75,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.3,2185,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.35,2193.65,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.4,2198,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.45,2202.55,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.5,2205.5,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.55,2216,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.6,2224.8,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.65,2235.35,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.7,2239,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.75,2248,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.8,2255.6,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.85,2264.45,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.9,2274.5,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.95,2297.4,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.975,2308.575,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.99,2312.55,"quantile","ILI incidence","AT"
2025-02-19,1,2025-02-16,0.01,588.97,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.025,591.95,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.05,595.9,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.1,608.6,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.15,613.85,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.2,616.8,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.25,622.75,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.3,626.7,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.35,629,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.4,633,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.45,639.55,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.5,641.5,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.55,646.45,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.6,650,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.65,653,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.7,657.3,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.75,661,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.8,665,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.85,671.3,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.9,682.2,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.95,693.05,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.975,699,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.99,704.16,"quantile","ILI incidence","BE"
2025-02-19,1,2025-02-16,0.01,33.99,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.025,34.475,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.05,35.95,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.1,39,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.15,41,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.2,42,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.25,43,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.3,44,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.35,45,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.4,46,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.45,47,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.5,47.5,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.55,49,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.6,50,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.65,50.35,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.7,51.3,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.75,53,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.8,54,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.85,56,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.9,57,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.95,58,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.975,60,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.99,61.01,"quantile","ILI incidence","HR"
2025-02-19,1,2025-02-16,0.01,35,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.025,36,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.05,37,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.1,38,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.15,39,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.2,41.8,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.25,43,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.3,44,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.35,45,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.4,46,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.45,48,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.5,49,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.55,50,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.6,51,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.65,51.35,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.7,52,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.75,53,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.8,54,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.85,56,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.9,57.1,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.95,59.05,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.975,62,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.99,65.02,"quantile","ILI incidence","CZ"
2025-02-19,1,2025-02-16,0.01,129,"quantile","ILI incidence","DK"
2025-02-19,1,2025-02-16,0.025,133.475,"quantile","ILI incidence","DK"
2025-02-19,1,2025-02-16,0.05,140.95,"quantile","ILI incidence","DK"
2025-02-19,1,2025-02-16,0.1,143,"quantile","ILI incidence","DK"
2025-02-19,1,2025-02-16,0.15,143.85,"quantile","ILI incidence","DK"
2025-02-19,1,2025-02-16,0.2,145,"quantile","ILI incidence","DK"
2025-02-19,1,2025-02-16,0.25,147.75,"quantile","ILI incidence","DK"
