"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-05-21,1,2025-05-18,0.01,1529.99,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.025,1542.95,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.05,1548.8,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.1,1558.7,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.15,1567.85,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.2,1577.6,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.25,1583.75,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.3,1593,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.35,1597.65,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.4,1601,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.45,1607,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.5,1614,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.55,1621.45,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.6,1623,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.65,1627.35,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.7,1634,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.75,1637.25,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.8,1640,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.85,1655.15,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.9,1661.2,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.95,1668.05,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.975,1681.1,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.99,1698.04,"quantile","ILI incidence","AT"
2025-05-21,1,2025-05-18,0.01,27.97,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.025,33,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.05,34.95,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.1,36.8,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.15,38,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.2,39.8,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.25,41,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.3,42,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.35,42,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.4,43,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.45,43,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.5,44,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.55,45.45,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.6,46.4,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.65,47.35,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.7,49,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.75,49,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.8,50,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.85,51,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.9,52.1,"quantile","ILI incidence","BE"
2025-05-21,1,2025-05-18,0.95,55.05,"quantile","ILI incidence","BE"
