"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-05-07,1,2025-05-04,0.01,1605.79,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.025,1611.425,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.05,1614.95,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.1,1626,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.15,1634,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.2,1637.8,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.25,1649,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.3,1652.4,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.35,1658,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.4,1663.6,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.45,1668.65,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.5,1676.5,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.55,1680,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.6,1683,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.65,1686,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.7,1689.6,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.75,1694.25,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.8,1702.6,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.85,1710.15,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.9,1721.7,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.95,1734.15,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.975,1745.775,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.99,1753.53,"quantile","ILI incidence","AT"
2025-05-07,1,2025-05-04,0.01,31.99,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.025,32.95,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.05,34,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.1,36.9,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.15,37,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.2,40,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.25,40.75,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.3,41,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.35,42,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.4,43,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.45,43,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.5,44,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.55,45,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.6,46,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.65,46,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.7,47.3,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.75,48,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.8,49,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.85,50,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.9,51.1,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.95,55.05,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.975,56,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.99,57.02,"quantile","ILI incidence","BE"
2025-05-07,1,2025-05-04,0.01,0,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.025,0,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.05,0,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.1,0,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.15,0,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.2,1,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.25,1,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.3,1,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.35,1,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.4,1,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.45,2,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.5,2,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.55,2,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.6,2,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.65,2,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.7,3,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.75,3,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.8,3,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.85,3,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.9,4,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.95,5,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.975,6,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.99,6.02000000000001,"quantile","ILI incidence","HR"
2025-05-07,1,2025-05-04,0.01,8.99,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.025,10,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.05,10,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.1,12,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.15,12,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.2,13,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.25,13.75,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.3,14,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.35,15,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.4,15,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.45,16,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.5,16,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.55,16,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.6,17,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.65,18,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.7,18.3,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.75,19.25,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.8,20,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.85,21,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.9,22,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.95,22.1,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.975,24.525,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.99,25.03,"quantile","ILI incidence","CZ"
2025-05-07,1,2025-05-04,0.01,83.99,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.025,85.95,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.05,87,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.1,88,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.15,90,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.2,91,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.25,94,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.3,95.7,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.35,97,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.4,98,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.45,100,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.5,102.5,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.55,104,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.6,105,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.65,106,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.7,107,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.75,108,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.8,109,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.85,111.15,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.9,113,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.95,117.05,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.975,119.575,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.99,122,"quantile","ILI incidence","DK"
2025-05-07,1,2025-05-04,0.01,163.91,"quantile","ILI incidence","EE"
2025-05-07,1,2025-05-04,0.025,164.475,"quantile","ILI incidence","EE"
2025-05-07,1,2025-05-04,0.05,168.85,"quantile","ILI incidence","EE"
2025-05-07,1,2025-05-04,0.1,174.9,"quantile","ILI incidence","EE"
