"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-07-30,1,2025-07-27,0.01,1510.98,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.025,1514.425,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.05,1518.85,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.1,1540.6,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.15,1546.85,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.2,1553,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.25,1556.5,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.3,1564,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.35,1574.3,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.4,1582.6,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.45,1585.55,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.5,1590,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.55,1594,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.6,1596.4,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.65,1599.35,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.7,1607,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.75,1610.25,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.8,1617.6,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.85,1626.15,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.9,1633.2,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.95,1656,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.975,1659.575,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.99,1668.04,"quantile","ILI incidence","AT"
2025-07-30,1,2025-07-27,0.01,20.96,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.025,21,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.05,23.95,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.1,25,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.15,26,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.2,27,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.25,27,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.3,28,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.35,29,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.4,29.6,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.45,30.55,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.5,31,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.55,32,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.6,32,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.65,33,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.7,34.3,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.75,35,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.8,35,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.85,36,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.9,37.1,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.95,39,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.975,43.05,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.99,46.07,"quantile","ILI incidence","BE"
2025-07-30,1,2025-07-27,0.01,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.025,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.05,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.1,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.15,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.2,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.25,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.3,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.35,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.4,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.45,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.5,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.55,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.6,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.65,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.7,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.75,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.8,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.85,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.9,0,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.95,1,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.975,1,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.99,1.01000000000001,"quantile","ILI incidence","HR"
2025-07-30,1,2025-07-27,0.01,2.98,"quantile","ILI incidence","CZ"
2025-07-30,1,2025-07-27,0.025,3,"quantile","ILI incidence","CZ"
2025-07-30,1,2025-07-27,0.05,3,"quantile","ILI incidence","CZ"
2025-07-30,1,2025-07-27,0.1,4,"quantile","ILI incidence","CZ"
2025-07-30,1,2025-07-27,0.15,5,"quantile","ILI incidence","CZ"
2025-07-30,1,2025-07-27,0.2,6,"quantile","ILI incidence","CZ"
2025-07-30,1,2025-07-27,0.25,6,"quantile","ILI incidence","CZ"
2025-07-30,1,2025-07-27,0.3,6,"quantile","ILI incidence","CZ"
2025-07-30,1,2025-07-27,0.35,7,"quantile","ILI incidence","CZ"
2025-07-30,1,2025-07-27,0.4,7,"quantile","ILI incidence","CZ"
